date;unit;consumption;time
26.3.2019;fridge;35,6W;22:10
26.3.2019;fridge;35,0W;22:15
26.3.2019;fridge;34,8W;22:20
26.3.2019;fridge;35,8W;22:25
26.3.2019;fridge;36,6W;22:30
26.3.2019;fridge;36,6W;22:35
26.3.2019;fridge;36,6W;22:40
26.3.2019;fridge;35,0W;22:45
26.3.2019;fridge;35,0W;22:50
26.3.2019;fridge;34,1W;22:55
26.3.2019;fridge;33,9W;23:00
26.3.2019;fridge;33,5W;23:05
26.3.2019;fridge;2,7W;23:10
26.3.2019;fridge;1,4W;23:15
26.3.2019;fridge;1,4W;23:20
26.3.2019;fridge;1,4W;23:25
26.3.2019;fridge;34,6W;23:30
26.3.2019;fridge;34,6W;23:35
26.3.2019;fridge;37,3W;23:40
26.3.2019;fridge;37,3W;23:45
26.3.2019;fridge;36,1W;23:50
26.3.2019;fridge;36,1W;23:55
27.3.2019;fridge;34,3W;00:00
27.3.2019;fridge;34,3W;00:05
27.3.2019;fridge;34,7W;00:10
27.3.2019;fridge;33,7W;00:15
27.3.2019;fridge;33,6W;00:20
27.3.2019;fridge;33,5W;00:25
27.3.2019;fridge;2,5W;00:30
27.3.2019;fridge;2,5W;00:35
27.3.2019;fridge;2,5W;00:40
27.3.2019;fridge;2,5W;00:45
27.3.2019;fridge;34,4W;00:50
27.3.2019;fridge;34,4W;00:55
27.3.2019;fridge;34,4W;01:00
27.3.2019;fridge;36,0W;01:05
27.3.2019;fridge;35,2W;01:10
27.3.2019;fridge;35,2W;01:15
27.3.2019;fridge;34,2W;01:20
27.3.2019;fridge;34,2W;01:25
27.3.2019;fridge;34,2W;01:30
27.3.2019;fridge;34,5W;01:35
27.3.2019;fridge;33,8W;01:40
27.3.2019;fridge;1,7W;01:45
27.3.2019;fridge;1,4W;01:50
27.3.2019;fridge;1,4W;01:55
27.3.2019;fridge;1,4W;02:00
27.3.2019;fridge;34,0W;02:05
27.3.2019;fridge;34,9W;02:10
27.3.2019;fridge;36,6W;02:15
27.3.2019;fridge;36,6W;02:20
27.3.2019;fridge;35,4W;02:25
27.3.2019;fridge;35,3W;02:30
27.3.2019;fridge;34,6W;02:35
27.3.2019;fridge;34,3W;02:40
27.3.2019;fridge;34,9W;02:45
27.3.2019;fridge;34,9W;02:50
27.3.2019;fridge;33,4W;02:55
27.3.2019;fridge;2,6W;03:00
27.3.2019;fridge;2,6W;03:05
27.3.2019;fridge;2,6W;03:10
27.3.2019;fridge;26,9W;03:15
27.3.2019;fridge;35,1W;03:20
27.3.2019;fridge;35,1W;03:25
27.3.2019;fridge;36,5W;03:30
27.3.2019;fridge;36,5W;03:35
27.3.2019;fridge;35,4W;03:40
27.3.2019;fridge;34,6W;03:45
27.3.2019;fridge;34,0W;03:50
27.3.2019;fridge;34,3W;03:55
27.3.2019;fridge;34,3W;04:00
27.3.2019;fridge;33,5W;04:05
27.3.2019;fridge;2,8W;04:10
27.3.2019;fridge;1,8W;04:15
27.3.2019;fridge;1,8W;04:20
27.3.2019;fridge;1,8W;04:25
27.3.2019;fridge;30,5W;04:30
27.3.2019;fridge;36,1W;04:35
27.3.2019;fridge;37,1W;04:40
27.3.2019;fridge;37,3W;04:45
27.3.2019;fridge;35,7W;04:50
